srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,attack_id
175.45.176.1,56648,149.171.126.19,25,tcp,FIN,0.809739,8374,1730,254,252,9,8,smtp,79294.6875,16242.27051,24,20,255,255,4287991269,1050370838,349,87,0,0,1889.864263,50.708395,1421927488,1421927489,35.206045,41.999844,0.054779,0.007156,0.047623,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Generic,1,generic_1_14917112619
175.45.176.3,34845,149.171.126.19,110,tcp,FIN,0.963382,1126,41028,62,252,7,22,pop3,8968.405273,333608.0625,24,48,255,255,2179479600,2326284780,47,855,0,0,2009.458056,1409.274638,1421927490,1421927491,41.886173,20.284468,0.054904,0.009268,0.045636,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.1,10126,149.171.126.19,1521,tcp,FIN,0.826131,5464,2230,254,252,8,7,-,50510.14844,20403.54492,22,18,255,255,2231178177,1502673250,248,124,0,0,1871.899526,54.866656,1421927497,1421927497,37.579097,48.057176,0.057915,0.00915,0.048765,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.2,49019,149.171.126.19,80,tcp,FIN,0.263397,1276,996,254,252,2,2,http,34897.89063,26484.73438,10,8,255,255,4215339354,3849022182,128,125,1,86,1445.504886,52.906687,1421927512,1421927512,29.266333,36.470715,0.05233,0.007428,0.044902,0,1,1.0,0.0,0,2,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.2,31158,149.171.126.19,111,udp,INT,7e-06,168,0,254,0,0,0,-,96000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927547,1421927547,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112619
175.45.176.2,10523,149.171.126.19,11353,udp,INT,1e-05,352,0,254,0,0,0,-,140800000.0,0.0,2,0,0,0,0,0,176,0,0,0,0.0,0.0,1421927549,1421927549,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Shellcode,1,shellcode_1_14917112619
175.45.176.1,59044,149.171.126.19,25,tcp,FIN,1.063009,72580,2042,62,252,33,8,smtp,538637.0,14780.68359,72,26,255,255,1156000018,2729328787,1008,79,0,0,1185.295489,46.427234,1421927586,1421927587,14.971958,42.221602,0.051029,0.00668,0.044349,0,1,0.0,0.0,0,2,1,1,2,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.3,31996,149.171.126.19,80,tcp,FIN,0.196738,912,268,254,252,2,1,http,33384.5,9108.560547,10,6,255,255,3822491319,1321767777,91,45,1,0,1066.853379,63.868082,1421927595,1421927595,19.994444,37.724801,0.053365,0.008111,0.045254,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.3,60197,149.171.126.19,110,tcp,FIN,0.542439,2832,637,254,252,3,3,-,38286.33203,8465.467773,12,10,255,255,921270739,2976817785,236,64,0,0,3382.304229,111.562305,1421927613,1421927614,48.054818,57.797891,0.073078,0.02225,0.050828,0,1,0.0,0.0,0,3,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.0,34703,149.171.126.19,5060,udp,INT,1.2e-05,1456,0,254,0,0,0,-,485333312.0,0.0,2,0,0,0,0,0,728,0,0,0,0.0,0.0,1421927620,1421927620,0.012,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Generic,1,generic_1_14917112619
175.45.176.1,20295,149.171.126.19,111,udp,INT,9e-06,168,0,254,0,0,0,-,74666664.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927636,1421927636,0.009,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112619
175.45.176.2,35996,149.171.126.19,25,tcp,FIN,1.879737,283028,3010,62,252,113,8,smtp,1199355.0,12554.94727,232,50,255,255,53127730,1353736385,1220,60,0,0,905.500016,47.251016,1421927637,1421927639,8.13684,37.897836,0.037099,0.02274,0.014359,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.2,35996,149.171.126.19,25,tcp,FIN,1.879737,283028,3010,62,252,113,8,smtp,1199355.0,12554.94727,232,50,255,255,53127730,1353736385,1220,60,0,0,905.500016,47.251016,1421927637,1421927639,8.13684,37.897836,0.037099,0.02274,0.014359,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.2,17498,149.171.126.19,110,tcp,FIN,54.265602,70256,14655417,62,252,7,5483,pop3,10351.01367,2160349.25,1632,10970,255,255,3619082811,2061571913,43,1336,0,0,2112.116277,800.384533,1421927598,1421927652,33.27136,4.946539,0.051315,0.006296,0.045019,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1,dos_1_14917112619
175.45.176.0,4425,149.171.126.19,80,tcp,FIN,0.395642,694,354,254,252,2,1,http,12637.6875,6268.292969,10,8,255,255,2688159810,1345449203,69,44,1,0,3076.8887,104.513789,1421927656,1421927656,43.331,49.466855,0.09585,0.049364,0.046486,0,1,1.0,0.0,0,12,11,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,12089,149.171.126.19,80,tcp,FIN,0.388297,630,354,254,252,2,1,http,11681.78027,6386.86377,10,8,255,255,415357282,1379092015,63,44,1,0,2978.27866,105.999484,1421927656,1421927656,42.229778,48.90343,0.092502,0.045963,0.046539,0,1,1.0,0.0,0,12,11,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,53372,149.171.126.19,80,tcp,FIN,0.180398,630,268,254,252,2,1,http,25144.40234,9933.59082,10,6,255,255,3029519047,3868181558,63,45,0,0,993.924245,59.720836,1421927655,1421927656,19.364222,34.876199,0.051275,0.006006,0.045269,0,1,0.0,0.0,0,12,11,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,4441,149.171.126.19,80,tcp,FIN,0.175691,694,268,254,252,2,1,http,28459.05664,10199.72559,10,6,255,255,1422944507,2982485831,69,45,1,0,1001.534502,49.582371,1421927657,1421927657,18.368222,29.9434,0.037574,0.02597,0.011604,0,1,1.0,0.0,0,12,11,2,3,3,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,62468,149.171.126.19,80,tcp,FIN,0.432149,522,354,254,252,2,1,http,8700.703125,5738.761719,10,8,255,255,3648228776,4002958311,52,44,1,0,3154.11361,115.213562,1421927657,1421927657,47.157111,54.29943,0.119746,0.052041,0.067705,0,1,1.0,0.0,0,12,11,2,3,3,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,58820,149.171.126.19,80,tcp,FIN,0.163739,522,268,254,252,2,1,http,22963.375,10944.24707,10,6,255,255,2426757365,2869807931,52,45,1,0,966.676366,48.534387,1421927658,1421927658,17.244444,29.1174,0.037452,0.018146,0.019306,0,1,1.0,0.0,0,12,11,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,4427,149.171.126.19,80,tcp,FIN,0.229538,598,268,254,252,2,1,http,18785.56055,7806.986328,10,6,255,255,2374845327,2458417589,60,45,1,0,1333.031593,70.701492,1421927658,1421927658,24.529556,41.085801,0.045204,0.024105,0.021099,0,1,1.0,0.0,0,12,11,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,2550,149.171.126.19,80,tcp,FIN,0.403153,630,354,254,252,2,1,http,11251.31152,6151.510742,10,8,255,255,875908907,594158076,63,44,1,0,3074.277507,106.019,1421927657,1421927658,43.765222,50.692,0.093808,0.048298,0.04551,0,1,1.0,0.0,0,12,11,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,64797,149.171.126.19,80,tcp,FIN,0.236616,508,268,254,252,2,1,http,15485.00488,7573.452148,10,6,255,255,1983650697,1211693800,51,45,1,0,1357.331851,74.23457,1421927659,1421927659,25.168,43.015801,0.07549,0.021532,0.053958,0,1,1.0,0.0,0,12,11,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,2085,149.171.126.19,80,tcp,FIN,0.480929,566,354,254,252,2,1,http,8483.581055,5156.686523,10,8,255,255,2736541761,1818994721,57,44,1,0,3703.660454,115.450563,1421927658,1421927659,52.181778,62.89243,0.100993,0.04068,0.060313,0,1,1.0,0.0,0,12,11,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,52264,149.171.126.19,80,tcp,FIN,0.179461,758,268,254,252,2,1,http,30446.72656,9985.456055,10,6,255,255,2680639479,1866133696,76,45,1,0,967.496882,45.72932,1421927659,1421927659,18.659444,30.1614,0.0457,0.028644,0.017056,0,1,1.0,0.0,0,12,11,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,60378,149.171.126.19,80,tcp,FIN,0.221766,508,268,254,252,2,1,http,16521.91992,8080.589844,10,6,255,255,812421682,811272013,51,45,1,0,1259.386693,56.761598,1421927660,1421927660,24.640667,31.0884,0.073863,0.053565,0.020298,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,4305,149.171.126.19,80,tcp,FIN,0.442843,510,354,254,252,2,1,http,8291.87793,5600.179199,10,8,255,255,873459914,4114037771,51,44,1,0,3389.642334,113.832461,1421927659,1421927660,47.981111,55.84757,0.102444,0.0519,0.050544,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,4426,149.171.126.19,80,tcp,FIN,0.465265,510,354,254,252,2,1,http,7892.276367,5330.29541,10,8,255,255,774779793,2577936191,51,44,1,0,3275.731834,105.766281,1421927660,1421927660,51.696111,57.005715,0.114678,0.065595,0.049083,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,2488,149.171.126.19,80,tcp,FIN,0.22194,758,268,254,252,2,1,http,24619.26758,8074.254395,10,6,255,255,439256074,565018263,76,45,1,0,1228.780105,63.306582,1421927661,1421927661,23.062111,39.391801,0.041947,0.024971,0.016976,0,1,1.0,0.0,0,10,10,4,5,4,1,4,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,54190,149.171.126.19,80,tcp,FIN,0.225663,566,268,254,252,2,1,http,18080.05664,7941.044434,10,6,255,255,2360923062,2803551294,57,45,1,0,1246.592298,65.544781,1421927660,1421927661,23.667444,40.473199,0.075589,0.023287,0.052302,0,1,1.0,0.0,0,10,10,4,5,4,1,4,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,6412,149.171.126.19,80,tcp,FIN,0.295298,1526,268,254,252,2,1,http,37223.41406,6068.445801,10,6,255,255,3692216215,2887816040,153,45,1,0,1696.533828,75.182297,1421927661,1421927661,32.002778,51.282801,0.07815,0.038873,0.039277,0,1,1.0,0.0,0,10,10,4,5,4,1,4,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,63265,149.171.126.19,80,tcp,FIN,0.312349,2550,268,254,252,2,1,http,58780.40234,5737.172363,10,6,255,255,312448991,1000182017,255,45,1,0,1660.142195,82.750719,1421927661,1421927661,32.01,53.383602,0.074086,0.045421,0.028665,0,1,1.0,0.0,0,10,10,4,5,4,1,4,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,4428,149.171.126.19,80,tcp,FIN,0.481337,17286,354,254,252,7,1,http,272939.75,5152.31543,20,8,255,255,3619259408,4220155995,864,44,1,0,2384.953075,93.730852,1421927662,1421927662,24.198631,60.728715,0.118165,0.056229,0.061936,0,1,1.0,0.0,0,10,10,1,1,1,1,1,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,64847,149.171.126.19,80,tcp,FIN,0.5045,510,354,254,252,2,1,http,7278.494141,4915.758301,10,8,255,255,465524541,4006289841,51,44,1,0,3920.739199,117.917078,1421927662,1421927663,54.659222,63.97857,0.109799,0.05664,0.053159,0,1,1.0,0.0,0,10,10,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,3089,149.171.126.19,80,tcp,FIN,0.321579,566,268,254,252,2,1,http,12687.39551,5572.50293,10,6,255,255,1625383712,3167141598,57,45,1,0,2048.111054,97.973828,1421927663,1421927663,34.075222,57.400801,0.0703,0.034569,0.035731,0,1,1.0,0.0,0,10,10,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,58917,149.171.126.19,80,tcp,FIN,0.473355,758,354,254,252,2,1,http,11543.13379,5239.196777,10,8,255,255,398991585,2104717770,76,44,1,0,3432.019646,110.561773,1421927663,1421927664,49.975,59.01057,0.114691,0.060275,0.054416,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,52558,149.171.126.19,80,tcp,FIN,0.361951,2550,268,254,252,2,1,http,50725.09766,4950.946289,10,6,255,255,466327472,786240652,255,45,1,0,2161.570539,86.752172,1421927664,1421927664,38.503778,52.266801,0.155796,0.100613,0.055183,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,53889,149.171.126.19,80,tcp,FIN,0.232158,1526,268,254,252,2,1,http,47347.0625,7718.880859,10,6,255,255,3598263047,1000318758,153,45,1,0,1293.793161,49.509648,1421927664,1421927664,24.713667,34.294199,0.089471,0.060681,0.02879,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,4434,149.171.126.19,80,tcp,FIN,0.253196,566,268,254,252,2,1,http,16113.99902,7077.520996,10,6,255,255,1708317804,3005555970,57,45,1,0,1224.125625,56.507723,1421927665,1421927665,23.998111,42.073801,0.083578,0.042816,0.040762,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,4328,149.171.126.19,80,tcp,FIN,0.263828,510,268,254,252,2,1,http,13918.1582,6792.303711,10,6,255,255,3610081733,1263282652,51,45,1,0,1351.419693,61.570457,1421927665,1421927665,27.192,43.422199,0.082119,0.046707,0.035412,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,2138,149.171.126.19,80,tcp,FIN,0.486067,17286,354,254,252,7,1,http,270283.7188,5102.177246,20,8,255,255,94265621,2741151195,864,44,1,0,2376.589823,96.719469,1421927664,1421927665,24.700789,65.48057,0.085612,0.027693,0.057919,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,5276,149.171.126.19,80,tcp,FIN,0.533223,1526,354,254,252,2,1,http,20614.26563,4650.962402,10,8,255,255,3256898924,3982262855,153,44,1,0,3662.030224,120.109875,1421927666,1421927666,56.588333,69.542859,0.118454,0.046422,0.072032,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,9575,149.171.126.19,80,tcp,FIN,0.292967,758,268,254,252,2,1,http,18650.56445,6116.72998,10,6,255,255,415875854,535503406,76,45,1,0,1541.324448,68.301312,1421927666,1421927666,30.117222,46.056199,0.092527,0.062675,0.029852,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,40325,149.171.126.19,80,tcp,FIN,0.447867,834,1468,62,252,2,2,http,13414.69629,22953.24219,10,8,255,255,260007122,2496928710,83,184,1,316,2517.427603,79.538227,1421927666,1421927666,49.652333,56.215145,0.087053,0.05435,0.032703,0,1,1.0,0.0,0,10,10,3,3,3,1,3,Exploits,1,exploits_1_14917112619
175.45.176.0,64810,149.171.126.19,80,tcp,FIN,0.367687,2550,268,254,252,2,1,http,49933.77734,4873.710938,10,6,255,255,3955257952,4171800904,255,45,1,0,1977.248457,92.659609,1421927667,1421927667,36.661667,61.850398,0.117875,0.058424,0.059451,0,1,1.0,0.0,0,10,10,1,1,1,1,1,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,65238,149.171.126.19,80,tcp,FIN,0.583265,17286,354,254,252,7,1,http,225242.3906,4251.926758,20,8,255,255,1708953095,3085111763,864,44,1,0,2890.477767,108.473359,1421927667,1421927668,30.657211,69.474859,0.168795,0.096931,0.071864,0,1,1.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,2494,149.171.126.19,80,tcp,FIN,0.35635,510,268,254,252,2,1,http,10304.47559,5028.763672,10,6,255,255,1070465785,101903346,51,45,1,0,1980.032089,74.008094,1421927668,1421927668,39.165556,59.210398,0.123763,0.060287,0.063476,0,1,1.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,2993,149.171.126.19,80,tcp,FIN,0.619268,566,354,254,252,2,1,http,6588.423828,4004.728271,10,8,255,255,2509684786,1581128159,57,44,1,0,4452.039894,119.499406,1421927668,1421927669,65.771,78.820711,0.125485,0.067513,0.057972,0,1,1.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,61087,149.171.126.19,80,tcp,FIN,0.471293,758,268,254,252,2,1,http,11593.63672,3802.305664,10,6,255,255,3122500175,2054615979,76,45,1,0,2579.07117,125.525266,1421927669,1421927669,49.184667,79.482602,0.170772,0.07387,0.096902,0,1,1.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,1808,149.171.126.19,80,tcp,FIN,0.311644,1526,268,254,252,2,1,http,35271.01563,5750.150879,10,6,255,255,1872402267,719286042,153,45,0,0,1714.458608,60.690418,1421927669,1421927670,31.756333,45.962801,0.12202,0.081826,0.040194,0,1,0.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,42512,149.171.126.19,80,tcp,FIN,0.493913,2550,268,254,252,2,1,http,37172.53906,3628.169434,10,6,255,255,2811495603,920508214,255,45,1,0,2566.370576,110.680188,1421927670,1421927670,50.178111,81.265602,0.131856,0.087574,0.044282,0,1,1.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,53222,149.171.126.19,80,tcp,FIN,0.711511,17286,354,254,252,7,1,http,184643.6563,3485.539795,20,8,255,255,3027999788,3792637850,864,44,1,0,3516.442559,126.228992,1421927671,1421927671,35.848685,92.289,0.124347,0.065482,0.058865,0,1,1.0,0.0,0,7,7,2,2,1,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,34133,149.171.126.19,25,tcp,FIN,1.765274,32921,1800,62,252,18,8,smtp,145645.375,7790.291992,42,22,255,255,1006669076,2962886293,784,82,0,0,2987.878539,100.347234,1421927669,1421927671,43.055464,80.47543,0.133953,0.06021,0.073743,0,1,0.0,0.0,0,1,1,2,2,1,1,2,Exploits,1,exploits_1_14917112619
175.45.176.0,34133,149.171.126.19,25,tcp,FIN,1.765274,32921,1800,62,252,18,8,smtp,145645.375,7790.291992,42,22,255,255,1006669076,2962886293,784,82,0,0,2987.878539,100.347234,1421927669,1421927671,43.055464,80.47543,0.133953,0.06021,0.073743,0,1,0.0,0.0,0,1,1,2,2,1,1,2,Exploits,1,exploits_1_14917112619
175.45.176.0,63616,149.171.126.19,80,tcp,FIN,0.551533,566,268,254,252,2,1,http,7397.562988,3249.125732,10,6,255,255,590839257,1971252199,57,45,1,0,3112.575714,121.433437,1421927672,1421927672,57.641556,79.604602,0.219483,0.153504,0.065979,0,1,1.0,0.0,0,6,6,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,59413,149.171.126.19,80,tcp,FIN,0.389791,566,268,254,252,2,1,http,10467.14746,4597.335449,10,6,255,255,3082030991,3694003810,57,45,0,0,2077.866208,93.548289,1421927671,1421927672,39.434222,65.837203,0.125127,0.060595,0.064532,0,1,0.0,0.0,0,6,6,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,54623,149.171.126.19,80,tcp,FIN,0.714844,566,354,254,252,2,1,http,5707.539062,3469.288574,10,8,255,255,3037539661,2827896683,57,44,1,0,5323.872505,124.03975,1421927673,1421927673,77.107778,91.789141,0.133097,0.072316,0.060781,0,1,1.0,0.0,0,6,6,2,1,1,1,1,Fuzzers,1,fuzzers_1_14917112619
175.45.176.1,13177,149.171.126.19,110,tcp,FIN,1.921034,960,17650,62,252,7,13,pop3,3797.95459,71053.39844,20,30,255,255,682689601,1404777956,48,588,0,0,5078.601668,3889.520474,1421927671,1421927673,101.107054,63.997037,0.12866,0.064388,0.064272,0,1,0.0,0.0,0,1,1,2,2,1,1,1,Exploits,1,exploits_1_14917112619
175.45.176.0,10982,149.171.126.19,80,tcp,FIN,0.648887,566,268,254,252,2,1,http,6287.689941,2761.651855,10,6,255,255,1263022389,2453934813,57,45,0,0,3642.302055,165.149078,1421927673,1421927674,69.926556,107.585398,0.238977,0.11095,0.128027,0,1,0.0,0.0,0,6,6,1,1,1,1,1,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,3623,149.171.126.19,80,tcp,FIN,0.528575,566,268,254,252,2,1,http,7718.866699,3390.247314,10,6,255,255,4072765424,2797656818,57,45,0,0,2782.286934,135.859891,1421927674,1421927675,54.266778,90.385203,0.159014,0.076642,0.082372,0,1,0.0,0.0,0,6,6,1,1,1,1,1,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,53935,149.171.126.19,80,tcp,FIN,0.598911,566,268,254,252,2,1,http,6812.364746,2992.097412,10,6,255,255,47088375,2585840656,57,45,0,0,3180.103552,151.050187,1421927675,1421927676,61.222667,97.742203,0.176175,0.11019,0.065985,0,1,0.0,0.0,0,6,5,1,1,1,1,1,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,4439,149.171.126.19,80,tcp,FIN,0.566171,566,268,254,252,2,1,http,7206.303711,3165.121582,10,6,255,255,2925039495,3617868549,57,45,1,0,3086.239506,137.078563,1421927676,1421927676,56.501889,92.592797,0.235101,0.103199,0.131902,0,1,1.0,0.0,0,6,6,1,1,1,1,1,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,5467,149.171.126.19,80,tcp,FIN,0.557756,566,268,254,252,2,1,http,7315.026367,3212.874512,10,6,255,255,4062082890,2892196508,57,45,1,0,2780.783652,131.457172,1421927677,1421927677,57.524778,95.432203,0.151639,0.080594,0.071045,0,1,1.0,0.0,0,6,5,1,3,2,1,1,Fuzzers,1,fuzzers_1_14917112619
175.45.176.0,4396,149.171.126.19,80,tcp,FIN,0.667286,566,268,254,252,2,1,http,6114.319824,2685.505371,10,6,255,255,3076554951,3195562222,57,45,0,0,3629.764103,170.676547,1421927677,1421927678,71.763222,115.367398,0.157357,0.090447,0.06691,0,1,0.0,0.0,0,6,5,1,1,1,1,1,Fuzzers,1,fuzzers_1_14917112619
