srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,attack_id,total_duration,cumulative_duration,remaining_time
175.45.176.0,60990,149.171.126.11,111,udp,INT,1e-05,168,0,254,0,0,0,-,67200000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927580,1421927580,0.01,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,5.7e-05,1639.313178
175.45.176.2,0,149.171.126.11,0,ospf,INT,0.518061,1040,0,254,0,0,0,-,15256.8916,0.0,20,0,0,0,0,0,52,0,0,0,31.164342,0.0,1421927596,1421927596,27.266369,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,2,2,2,2,2,Exploits,1,exploits_1_14917112611,295.039418,1.647982,293.391436
175.45.176.2,0,149.171.126.11,0,ospf,INT,0.518061,1040,0,254,0,0,0,-,15256.8916,0.0,20,0,0,0,0,0,52,0,0,0,31.164342,0.0,1421927596,1421927596,27.266369,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,2,2,2,2,2,Exploits,1,exploits_1_14917112611,295.039418,2.166043,292.873375
175.45.176.2,0,149.171.126.11,0,ospf,INT,0.518061,1040,0,254,0,0,0,-,15256.8916,0.0,20,0,0,0,0,0,52,0,0,0,31.164342,0.0,1421927596,1421927596,27.266369,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,2,2,2,2,2,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,0.518118,1638.7951170000001
175.45.176.2,0,149.171.126.11,0,ospf,INT,0.518061,1040,0,254,0,0,0,-,15256.8916,0.0,20,0,0,0,0,0,52,0,0,0,31.164342,0.0,1421927596,1421927596,27.266369,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,2,2,2,2,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,0.518061,3595.949678
175.45.176.2,0,149.171.126.11,0,ospf,INT,0.518061,1040,0,254,0,0,0,-,15256.8916,0.0,20,0,0,0,0,0,52,0,0,0,31.164342,0.0,1421927596,1421927596,27.266369,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,2,2,2,2,2,Exploits,1,exploits_1_14917112611,295.039418,2.684104,292.355314
175.45.176.2,0,149.171.126.11,0,ospf,INT,0.518061,1040,0,254,0,0,0,-,15256.8916,0.0,20,0,0,0,0,0,52,0,0,0,31.164342,0.0,1421927596,1421927596,27.266369,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,2,2,2,2,2,Exploits,1,exploits_1_14917112611,295.039418,3.202165,291.83725300000003
175.45.176.2,0,149.171.126.11,0,ospf,INT,0.518061,1040,0,254,0,0,0,-,15256.8916,0.0,20,0,0,0,0,0,52,0,0,0,31.164342,0.0,1421927596,1421927596,27.266369,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,2,2,2,2,2,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,1.036179,1638.2770560000001
175.45.176.2,0,149.171.126.11,0,ospf,INT,0.518061,1040,0,254,0,0,0,-,15256.8916,0.0,20,0,0,0,0,0,52,0,0,0,31.164342,0.0,1421927596,1421927596,27.266369,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,2,2,2,2,2,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036122,3595.431617
175.45.176.3,10905,149.171.126.11,1900,udp,INT,1.2e-05,1324,0,254,0,0,0,-,441333312.0,0.0,2,0,0,0,0,0,662,0,0,0,0.0,0.0,1421927600,1421927600,0.012,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,3.202177,291.837241
175.45.176.1,50681,149.171.126.11,80,tcp,FIN,0.212959,906,3196,62,252,2,2,http,30653.78711,105071.8672,10,8,255,255,4040754380,2283253624,91,400,1,1182,1134.125877,30.854123,1421927602,1421927602,23.546556,22.491143,0.065402,0.055514,0.009888,0,1,1.0,0.0,0,3,1,1,2,1,1,1,DoS,1,dos_1_14917112611,1748.142005,1.427698,1746.714307
175.45.176.3,42709,149.171.126.11,80,tcp,FIN,1.510987,2566,357553,62,252,2,137,http,13315.79883,1886274.25,50,278,255,255,3567311870,1897694234,51,1286,1,0,1754.636176,767.722157,1421927630,1421927632,30.817327,5.391766,0.032988,0.017461,0.015527,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,4.713164,290.326254
175.45.176.1,59131,149.171.126.11,58215,tcp,FIN,0.406861,364,3754,62,252,1,3,ftp-data,6272.412109,66440.38281,8,10,255,255,138134343,1075894852,46,375,0,0,3422.354933,3225.859341,1421927639,1421927639,58.123,36.971778,0.151619,0.073393,0.078226,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,5.120025,289.919393
175.45.176.1,59131,149.171.126.11,58215,tcp,FIN,0.406861,364,3754,62,252,1,3,ftp-data,6272.412109,66440.38281,8,10,255,255,138134343,1075894852,46,375,0,0,3422.354933,3225.859341,1421927639,1421927639,58.123,36.971778,0.151619,0.073393,0.078226,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,5.526886,289.512532
175.45.176.1,55669,149.171.126.11,21,tcp,FIN,1.071544,1170,1654,62,252,7,9,ftp,8339.368164,11788.5957,22,22,255,255,706579157,2128336695,53,75,0,0,2971.974079,4005.135068,1421927638,1421927640,51.025906,50.112572,0.03511,0.018331,0.016779,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,6.5984300000000005,288.440988
175.45.176.1,55669,149.171.126.11,21,tcp,FIN,1.071544,1170,1654,62,252,7,9,ftp,8339.368164,11788.5957,22,22,255,255,706579157,2128336695,53,75,0,0,2971.974079,4005.135068,1421927638,1421927640,51.025906,50.112572,0.03511,0.018331,0.016779,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,7.669974,287.369444
175.45.176.2,40737,149.171.126.11,80,tcp,FIN,0.179087,950,268,254,252,2,1,http,38193.72656,10006.30957,10,6,255,255,4143584678,3621555029,95,45,0,0,994.344196,59.811137,1421927652,1421927653,18.583556,34.573602,0.051986,0.006209,0.045777,0,1,0.0,0.0,0,1,2,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,1.215266,1638.0979690000001
175.45.176.3,11567,149.171.126.11,80,tcp,FIN,0.224213,776,1364,62,252,2,2,http,24940.57031,42602.34766,10,8,255,255,1000349741,1866012910,78,171,1,275,1358.23765,55.396543,1421927654,1421927654,24.912556,30.478715,0.051878,0.006522,0.045356,0,1,1.0,0.0,0,1,2,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,7.8941870000000005,287.145231
175.45.176.1,61055,149.171.126.11,111,udp,INT,1.1e-05,168,0,254,0,0,0,-,61090908.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927663,1421927663,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,1.215277,1638.097958
175.45.176.1,34756,149.171.126.11,111,udp,INT,1.1e-05,168,0,254,0,0,0,-,61090908.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927667,1421927667,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,1.215288,1638.097947
175.45.176.2,8150,149.171.126.11,80,tcp,FIN,0.878903,1408,19328,62,252,3,9,http,11905.75098,167936.625,14,22,255,255,3209588385,2153782631,101,879,0,0,3480.193852,3101.111322,1421927680,1421927681,67.607925,38.092428,0.156575,0.078317,0.078258,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,8.77309,286.266328
175.45.176.1,18241,149.171.126.11,110,tcp,FIN,3.011018,948,2958,62,252,7,8,pop3,2393.874756,7468.570312,20,20,255,255,1473200119,598866449,47,148,0,0,8229.861765,212.392797,1421927684,1421927687,158.428742,154.623734,0.243932,0.073164,0.170768,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,11.784108,283.25531
175.45.176.0,53147,149.171.126.11,514,udp,INT,4e-06,728,0,254,0,0,0,-,728000000.0,0.0,2,0,0,0,0,0,364,0,0,0,0.0,0.0,1421927703,1421927703,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.0361259999999999,3595.431613
175.45.176.0,58118,149.171.126.11,514,udp,INT,1.2e-05,860,0,254,0,0,0,-,286666656.0,0.0,2,0,0,0,0,0,430,0,0,0,0.0,0.0,1421927703,1421927703,0.012,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036138,3595.4316010000002
175.45.176.0,4004,149.171.126.11,514,udp,INT,6e-06,1596,0,254,0,0,0,-,1063999936.0,0.0,2,0,0,0,0,0,798,0,0,0,0.0,0.0,1421927704,1421927704,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036144,3595.431595
175.45.176.0,54885,149.171.126.11,514,udp,INT,2e-06,1070,0,254,0,0,0,-,2140000000.0,0.0,2,0,0,0,0,0,535,0,0,0,0.0,0.0,1421927704,1421927704,0.002,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036146,3595.4315930000002
175.45.176.0,34632,149.171.126.11,514,udp,INT,8e-06,798,0,254,0,0,0,-,399000000.0,0.0,2,0,0,0,0,0,399,0,0,0,0.0,0.0,1421927705,1421927705,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036154,3595.4315850000003
175.45.176.0,3438,149.171.126.11,514,udp,INT,6e-06,782,0,254,0,0,0,-,521333312.0,0.0,2,0,0,0,0,0,391,0,0,0,0.0,0.0,1421927705,1421927705,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,7,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.03616,3595.431579
175.45.176.0,55956,149.171.126.11,514,udp,INT,8e-06,2116,0,254,0,0,0,-,1058000000.0,0.0,2,0,0,0,0,0,1058,0,0,0,0.0,0.0,1421927706,1421927706,0.008,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,7,7,1,1,1,1,1,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036168,3595.431571
175.45.176.0,1634,149.171.126.11,514,udp,INT,1.3e-05,1432,0,254,0,0,0,-,440615392.0,0.0,2,0,0,0,0,0,716,0,0,0,0.0,0.0,1421927706,1421927706,0.013,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,7,1,1,1,1,1,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036181,3595.431558
175.45.176.0,54020,149.171.126.11,514,udp,INT,4e-06,342,0,254,0,0,0,-,342000000.0,0.0,2,0,0,0,0,0,171,0,0,0,0.0,0.0,1421927707,1421927707,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,7,2,3,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036185,3595.4315540000002
175.45.176.0,13928,149.171.126.11,514,udp,INT,1.3e-05,2142,0,254,0,0,0,-,659076928.0,0.0,2,0,0,0,0,0,1071,0,0,0,0.0,0.0,1421927707,1421927707,0.013,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,7,2,3,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036198,3595.4315410000004
175.45.176.0,45909,149.171.126.11,514,udp,INT,7e-06,746,0,254,0,0,0,-,426285696.0,0.0,2,0,0,0,0,0,373,0,0,0,0.0,0.0,1421927708,1421927708,0.007,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036205,3595.4315340000003
175.45.176.0,54995,149.171.126.11,514,udp,INT,6e-06,1664,0,254,0,0,0,-,1109333248.0,0.0,2,0,0,0,0,0,832,0,0,0,0.0,0.0,1421927708,1421927708,0.006,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,7,2,2,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036211,3595.431528
175.45.176.0,60618,149.171.126.11,514,udp,INT,1.3e-05,1844,0,254,0,0,0,-,567384640.0,0.0,2,0,0,0,0,0,922,0,0,0,0.0,0.0,1421927709,1421927709,0.013,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,7,2,3,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036224,3595.431515
175.45.176.0,1526,149.171.126.11,514,udp,INT,1.2e-05,1536,0,254,0,0,0,-,511999968.0,0.0,2,0,0,0,0,0,768,0,0,0,0.0,0.0,1421927709,1421927709,0.012,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,7,2,3,2,1,2,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036236,3595.4315030000002
175.45.176.0,3032,149.171.126.11,514,udp,INT,5e-06,1126,0,254,0,0,0,-,900800000.0,0.0,2,0,0,0,0,0,563,0,0,0,0.0,0.0,1421927710,1421927710,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,3,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036241,3595.4314980000004
175.45.176.0,55320,149.171.126.11,514,udp,INT,1.2e-05,1286,0,254,0,0,0,-,428666656.0,0.0,2,0,0,0,0,0,643,0,0,0,0.0,0.0,1421927710,1421927710,0.012,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,3,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036253,3595.431486
175.45.176.0,4599,149.171.126.11,514,udp,INT,1.3e-05,2062,0,254,0,0,0,-,634461568.0,0.0,2,0,0,0,0,0,1031,0,0,0,0.0,0.0,1421927710,1421927710,0.013,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,3,3,3,3,3,1,3,Fuzzers,1,fuzzers_1_14917112611,3596.467739,1.036266,3595.431473
175.45.176.2,50637,149.171.126.11,25,tcp,FIN,1.196775,8734,910,254,252,5,4,smtp,54740.44922,5581.66748,16,12,255,255,4109011611,1379802004,546,76,0,0,5222.061621,157.784922,1421927712,1421927713,76.6052,101.334,0.106983,0.082096,0.024887,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Generic,1,generic_1_14917112611,1289.235708,1.617693,1287.618015
175.45.176.0,36548,149.171.126.11,110,tcp,FIN,1.796687,1720,174146,62,252,7,72,pop3,7458.171387,770173.125,38,148,255,255,3524365623,572785030,45,1177,0,0,2427.272563,1152.442924,1421927714,1421927716,48.559109,12.1,0.085956,0.017267,0.068689,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,13.580795,281.458623
175.45.176.0,36548,149.171.126.11,110,tcp,FIN,1.796687,1720,174146,62,252,7,72,pop3,7458.171387,770173.125,38,148,255,255,3524365623,572785030,45,1177,0,0,2427.272563,1152.442924,1421927714,1421927716,48.559109,12.1,0.085956,0.017267,0.068689,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,15.377482,279.661936
175.45.176.0,43762,149.171.126.11,554,tcp,FIN,0.235139,484,268,254,252,2,1,-,14833.7793,7621.024414,10,6,255,255,2305982204,915379077,48,45,0,0,1221.247755,65.863406,1421927717,1421927717,23.509778,42.608199,0.074607,0.022086,0.052521,0,1,0.0,0.0,0,1,1,1,1,1,1,1,DoS,1,dos_1_14917112611,1748.142005,1.6628370000000001,1746.4791679999998
175.45.176.1,19868,149.171.126.11,111,tcp,FIN,0.644512,564,354,254,252,2,1,-,6305.545898,3847.872559,10,8,255,255,150660572,2423068984,56,44,0,0,5509.075913,139.966547,1421927734,1421927735,70.844,90.42457,0.061813,0.011529,0.050284,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,1.8598,1637.4534350000001
175.45.176.0,13254,149.171.126.11,25,tcp,FIN,0.91112,3064,1678,62,252,7,8,smtp,25559.75,14004.74121,20,20,255,255,3177058520,3765766697,153,84,0,0,2244.500583,50.529078,1421927744,1421927745,47.953684,46.969844,0.067882,0.017966,0.049916,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,16.288602,278.750816
175.45.176.2,56136,149.171.126.11,80,tcp,FIN,0.242143,844,1148,62,252,2,2,http,25109.12891,33203.51953,10,8,255,255,4054199938,2009286469,84,144,1,152,1351.591284,45.168508,1421927749,1421927749,26.904778,27.589143,0.029225,0.014667,0.014558,0,1,1.0,0.0,0,2,2,2,3,2,1,2,Exploits,1,exploits_1_14917112611,295.039418,16.530745,278.508673
175.45.176.2,60855,149.171.126.11,80,tcp,FIN,0.271802,842,2786,62,252,2,2,http,22310.35742,71758.11719,10,8,255,255,1391954971,1457278231,84,348,1,971,1523.86833,66.831852,1421927749,1421927749,30.200222,33.969855,0.071561,0.015651,0.05591,0,1,1.0,0.0,0,2,2,2,3,2,1,2,Exploits,1,exploits_1_14917112611,295.039418,16.802547,278.236871
175.45.176.2,34905,149.171.126.11,8433,udp,INT,1.1e-05,486,0,254,0,0,0,-,176727264.0,0.0,2,0,0,0,0,0,243,0,0,0,0.0,0.0,1421927781,1421927781,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,9,1,1,4,1,1,1,Shellcode,1,shellcode_1_14917112611,48.340524,1.1e-05,48.340513
175.45.176.3,20031,149.171.126.11,111,udp,INT,1.1e-05,168,0,254,0,0,0,-,61090908.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927799,1421927799,0.011,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,2,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,1.8598109999999999,1637.453424
175.45.176.1,37761,149.171.126.11,111,udp,INT,4e-06,168,0,254,0,0,0,-,168000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927800,1421927800,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,2,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,1.859815,1637.45342
175.45.176.0,10026,149.171.126.11,80,tcp,FIN,0.999796,1262,3234,62,252,3,3,http,9257.888672,23724.83984,12,12,255,255,1607997394,3339783268,105,270,1,761,5156.094532,144.096828,1421927808,1421927809,90.890543,80.888273,0.261904,0.10813,0.153774,0,1,1.0,0.0,0,2,2,1,3,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,17.802343,277.237075
175.45.176.0,29608,149.171.126.11,25,tcp,FIN,3.558249,39216,1844,62,252,20,8,smtp,86253.66406,3974.98877,46,24,255,255,1564225278,2204466870,853,77,0,0,7430.164144,281.778594,1421927807,1421927811,79.072198,149.261094,0.179612,0.091401,0.088211,0,1,0.0,0.0,0,1,1,2,4,1,1,2,Exploits,1,exploits_1_14917112611,295.039418,21.360592,273.678826
175.45.176.0,6309,149.171.126.11,80,tcp,FIN,0.909286,824,874,62,252,2,2,http,6528.19873,6730.555664,10,8,255,255,3343349573,1068064009,82,109,1,18,5196.608411,202.322531,1421927810,1421927811,101.031778,119.761,0.190736,0.070315,0.120421,0,1,1.0,0.0,0,2,2,2,4,1,1,2,Exploits,1,exploits_1_14917112611,295.039418,22.269878,272.76954
175.45.176.1,31175,149.171.126.11,111,udp,INT,1.4e-05,168,0,254,0,0,0,-,48000000.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1421927815,1421927815,0.014,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,2,1,1,2,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,1.859829,1637.453406
175.45.176.1,58406,149.171.126.11,80,tcp,FIN,1.115159,1200,5142,62,252,3,4,http,7891.250977,33817.59766,12,12,255,255,1471064155,2970622951,100,429,1,32,4941.770004,5592.180321,1421927817,1421927818,101.378089,85.119729,0.241442,0.156192,0.08525,0,1,1.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,23.385037,271.654381
175.45.176.2,15210,149.171.126.11,80,tcp,FIN,0.642515,864,268,254,252,2,1,http,9686.933594,2789.040039,10,6,255,255,1222974892,895333635,86,45,0,0,3670.6894,180.123172,1421927819,1421927820,71.300667,112.798203,0.174679,0.078519,0.09616,0,1,0.0,0.0,0,1,1,1,2,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,2.502344,1636.810891
175.45.176.1,62117,149.171.126.11,111,tcp,FIN,1.530954,564,354,254,252,2,1,-,2654.553955,1619.905029,10,8,255,255,3091388738,389656477,56,44,0,0,9497.841133,315.456313,1421927829,1421927830,170.006556,203.070719,0.222243,0.109449,0.112794,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Reconnaissance,1,reconnaissance_1_14917112611,1639.313235,4.033298,1635.279937
175.45.176.1,46310,149.171.126.11,25,tcp,FIN,3.0247,3739,1814,62,252,8,8,smtp,9442.258789,4559.791016,22,20,255,255,643811872,220023931,170,91,0,0,7091.737326,184.674891,1421927831,1421927834,144.033338,154.246953,0.175081,0.093938,0.081143,0,1,0.0,0.0,0,1,1,1,1,1,1,1,Exploits,1,exploits_1_14917112611,295.039418,26.409737,268.629681
175.45.176.1,37560,149.171.126.11,69,udp,INT,4e-06,92,0,254,0,0,0,-,92000000.0,0.0,2,0,0,0,0,0,46,0,0,0,0.0,0.0,1421927836,1421927836,0.004,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,1,1,1,1,1,1,1,Generic,1,generic_1_14917112611,1289.235708,1.6176969999999997,1287.618011
175.45.176.1,29015,149.171.126.11,80,tcp,FIN,1.239641,1370,4252,62,252,2,3,http,7957.142578,25155.67188,10,12,255,255,4231721025,3084251124,137,354,0,0,8383.082489,6027.140546,1421927861,1421927862,137.737889,96.04282,0.288758,0.182241,0.106517,0,1,0.0,0.0,0,1,1,1,2,1,1,1,Generic,1,generic_1_14917112611,1289.235708,2.8573379999999995,1286.37837
